Case_ID,Total_TL,Tot_Closed_TL,Tot_Active_TL,Total_TL_opened_L6M,Tot_TL_closed_L6M,pct_tl_open_L6M,pct_tl_closed_L6M,pct_active_tl,pct_closed_tl,Total_TL_opened_L12M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_utilization,CC_Flag,PL_utilization,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,last_prod_enq2,first_prod_enq2,Approved_Flag
990000,7.0,1.0,6.0,4.0,0.0,0.571,0.0,0.857,0.143,6.0,0.0,0.857,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,5.0,2.0,23.0,4.0,74.0,-99999.0,-99999.0,0.0,-99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,83.0,3.0,2.0,1.0,Married,OTHERS,25.0,M,17000.0,54.0,0.857,0.667,0.362,-99999.0,0.0,-99999.0,0.0,1.0,0.0,1.0,0.0,2.504,0.0,0.0,PL,ConsumerLoan,
990001,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,12.0,10.0,122.0,13.0,5.0,9.0,64.0,30.0,1.0,7.0,6.0,30.0,64.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,298.0,1.0,0.0,0.0,Married,OTHERS,46.0,M,22000.0,126.0,1.0,0.0,0.731,-99999.0,0.0,-99999.0,0.0,0.0,0.0,0.0,0.0,5.223,0.0,0.0,PL,others,
990002,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,11.0,82.0,-99999.0,-99999.0,0.0,-99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,Married,UNDER GRADUATE,29.0,M,30200.0,136.0,1.0,0.0,0.0,-99999.0,0.0,-99999.0,0.0,0.0,0.0,0.0,0.0,0.364,0.0,0.0,ConsumerLoan,others,
990003,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,11.0,11.0,61.0,-99999.0,-99999.0,0.0,-99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,162.0,2.0,1.0,0.0,Married,12TH,42.0,M,14500.0,101.0,1.0,0.0,0.711,-99999.0,0.0,0.856,1.0,0.0,1.0,0.0,1.0,6.821,0.0,0.0,CC,others,
990004,3.0,0.0,3.0,1.0,0.0,0.333,0.0,1.0,0.0,1.0,0.0,0.333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,22.0,5.0,46.0,-99999.0,-99999.0,0.0,-99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,3.0,1.0,3.0,6.0,10.0,7.0,3.0,Married,UNDER GRADUATE,42.0,M,40000.0,185.0,1.0,1.0,1.032,-99999.0,1.0,-99999.0,0.0,0.333,0.0,0.333,0.0,50.391,0.0,0.0,ConsumerLoan,HL,
990005,5.0,2.0,3.0,3.0,1.0,0.6,0.2,0.6,0.4,4.0,2.0,0.8,0.4,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,2.0,18.0,1.0,6.0,-99999.0,-99999.0,0.0,-99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,Married,GRADUATE,34.0,F,40000.0,53.0,0.6,0.75,0.989,-99999.0,0.0,-99999.0,0.0,0.0,0.0,0.0,0.0,18.75,1.0,0.0,others,others,
990006,5.0,1.0,4.0,2.0,0.0,0.4,0.0,0.8,0.2,3.0,0.0,0.6,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,43.0,2.0,44.0,26.0,26.0,1.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,4.0,4.0,Married,GRADUATE,27.0,M,45000.0,128.0,0.8,0.667,0.612,1.0,1.0,-99999.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,ConsumerLoan,PL,
990007,7.0,5.0,2.0,0.0,2.0,0.0,0.286,0.286,0.714,2.0,3.0,0.286,0.429,0.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,2.0,70.0,8.0,78.0,12.0,10.0,4.0,9.0,2.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,2.0,1.0,0.0,Married,OTHERS,28.0,M,40000.0,147.0,0.286,0.0,0.305,-99999.0,0.0,-99999.0,0.0,0.0,0.0,0.0,0.0,1.248,0.0,0.0,others,others,
990008,26.0,13.0,13.0,10.0,2.0,0.385,0.077,0.5,0.5,12.0,5.0,0.462,0.192,1.0,2.0,1.0,16.0,1.0,0.0,3.0,3.0,23.0,3.0,79.0,2.0,34.0,-99999.0,-99999.0,0.0,-99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,3.0,1.0,1.0,7.0,5.0,5.0,2.0,20.0,17.0,15.0,Married,GRADUATE,37.0,M,45000.0,147.0,0.5,0.833,0.778,0.99,1.0,0.813,1.0,1.0,1.0,0.714,0.333,13.831,1.0,0.0,ConsumerLoan,others,
990009,20.0,17.0,3.0,0.0,0.0,0.0,0.0,0.15,0.85,1.0,0.0,0.05,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,19.0,1.0,0.0,43.0,9.0,57.0,33.0,2.0,13.0,103.0,75.0,4.0,4.0,0.0,26.0,26.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,0.0,0.0,0.0,Single,GRADUATE,23.0,M,10000.0,130.0,0.15,0.0,0.461,-99999.0,0.0,-99999.0,0.0,0.0,0.0,0.0,0.0,2.72,1.0,0.0,ConsumerLoan,ConsumerLoan,
