Case_ID,Total_TL,Tot_Closed_TL,Tot_Active_TL,Total_TL_opened_L6M,Tot_TL_closed_L6M,pct_tl_open_L6M,pct_tl_closed_L6M,pct_active_tl,pct_closed_tl,Total_TL_opened_L12M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL
1,3,3,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,0.333,0,0,0,0,0,0,0,3,0,3,45,14
2,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,24,24
3,8,6,2,1,0,0.125,0.0,0.25,0.75,1,1,0.125,0.125,1,0,0,0,7,0,0,8,0,1,78,2
4,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,12,12
5,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,7,7
6,6,3,3,1,2,0.167,0.333,0.5,0.5,3,2,0.5,0.333,0,1,0,0,3,0,0,6,0,2,31,5
7,1,1,0,0,0,0.0,0.0,0.0,1.0,1,1,1.0,1.0,0,0,0,0,1,0,0,1,0,0,12,12
8,2,0,2,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,1,0,0,1,0,0,0,0,2,1,14,14
9,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,61,61
10,7,7,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,7,0,0,7,0,0,37,21
11,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,10,10
12,2,1,1,1,1,0.5,0.5,0.5,0.5,2,1,1.0,0.5,0,0,0,2,0,0,0,0,2,0,8,5
13,8,5,3,1,2,0.125,0.25,0.375,0.625,5,3,0.625,0.375,0,0,0,4,0,0,1,0,8,3,33,6
14,2,0,2,1,0,0.5,0.0,1.0,0.0,2,0,1.0,0.0,0,1,0,1,0,0,0,1,1,0,9,5
15,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,13,13
16,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,30,30
17,10,4,6,4,0,0.4,0.0,0.6,0.4,4,0,0.4,0.0,2,0,0,3,0,2,0,2,8,5,47,2
18,13,9,4,2,2,0.154,0.154,0.308,0.692,2,2,0.154,0.154,2,0,0,0,11,0,0,11,2,2,47,4
19,3,1,2,0,0,0.0,0.0,0.667,0.333,0,0,0.0,0.0,1,1,0,0,2,0,0,3,0,0,49,12
20,9,5,4,1,0,0.111,0.0,0.444,0.556,2,1,0.222,0.111,1,2,0,1,4,0,0,7,2,2,116,2
21,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,23,23
22,29,21,8,0,0,0.0,0.0,0.276,0.724,1,1,0.034,0.034,0,0,1,3,24,0,0,24,5,1,59,11
23,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,5,5
24,2,0,2,1,0,0.5,0.0,1.0,0.0,1,0,0.5,0.0,1,0,0,1,0,0,0,1,1,1,110,2
25,10,9,1,1,0,0.1,0.0,0.1,0.9,1,1,0.1,0.1,0,0,0,1,9,0,0,9,1,0,52,5
26,3,2,1,0,0,0.0,0.0,0.333,0.667,1,1,0.333,0.333,0,1,0,0,0,0,2,1,2,0,88,11
27,8,4,4,1,0,0.125,0.0,0.5,0.5,2,1,0.25,0.125,0,0,0,3,2,0,1,2,6,2,33,3
28,5,1,4,2,0,0.4,0.0,0.8,0.2,4,0,0.8,0.0,2,3,0,0,0,0,0,5,0,2,147,2
29,11,9,2,0,0,0.0,0.0,0.182,0.818,1,1,0.091,0.091,0,1,0,3,0,2,2,3,8,3,197,8
30,7,6,1,0,0,0.0,0.0,0.143,0.857,0,0,0.0,0.0,1,0,0,0,6,0,0,7,0,1,32,20
31,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,9,9
32,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,0,0,0,1,0,1,0,10,10
33,8,5,3,0,1,0.0,0.125,0.375,0.625,2,2,0.25,0.25,1,0,0,0,1,0,3,1,7,4,109,8
34,12,4,8,2,3,0.167,0.25,0.667,0.333,5,4,0.417,0.333,0,2,3,3,0,0,3,2,10,1,19,1
35,2,0,2,1,0,0.5,0.0,1.0,0.0,2,0,1.0,0.0,0,0,0,0,0,1,0,1,1,1,9,6
36,1,1,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,0,0,0,1,0,0,0,0,1,0,14,14
37,2,0,2,1,0,0.5,0.0,1.0,0.0,1,0,0.5,0.0,1,0,0,0,0,0,0,1,1,2,20,6
38,3,0,3,2,0,0.667,0.0,1.0,0.0,3,0,1.0,0.0,2,2,0,1,0,0,0,2,1,0,7,2
39,3,0,3,0,0,0.0,0.0,1.0,0.0,1,0,0.333,0.0,0,1,0,1,0,0,1,1,2,0,123,8
40,2,2,0,0,2,0.0,1.0,0.0,1.0,2,2,1.0,1.0,0,0,0,1,1,0,0,1,1,0,11,10
41,3,2,1,1,0,0.333,0.0,0.333,0.667,1,0,0.333,0.0,0,0,0,0,1,0,0,3,0,2,58,4
42,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,5,5
43,2,0,2,1,0,0.5,0.0,1.0,0.0,2,0,1.0,0.0,0,1,0,1,0,0,0,1,1,0,9,4
44,2,1,1,1,1,0.5,0.5,0.5,0.5,2,1,1.0,0.5,1,0,0,2,0,0,0,0,2,0,9,3
45,10,6,4,0,0,0.0,0.0,0.4,0.6,2,0,0.2,0.0,1,2,0,2,4,0,1,7,3,1,103,8
46,16,9,7,5,2,0.312,0.125,0.438,0.562,5,2,0.312,0.125,0,0,3,10,0,0,0,0,16,3,93,4
47,7,1,6,2,1,0.286,0.143,0.857,0.143,4,1,0.571,0.143,1,2,0,5,0,0,0,2,5,0,56,2
48,11,2,9,7,1,0.636,0.091,0.818,0.182,11,2,1.0,0.182,5,0,0,7,1,0,0,1,10,3,10,2
49,21,14,7,4,0,0.19,0.0,0.333,0.667,5,0,0.238,0.0,4,1,0,3,16,0,0,17,4,1,58,2
50,3,2,1,0,1,0.0,0.333,0.333,0.667,0,1,0.0,0.333,0,1,0,0,0,0,2,1,2,0,90,29
51,4,4,0,1,1,0.25,0.25,0.0,1.0,1,1,0.25,0.25,0,0,0,0,0,0,0,4,0,4,43,6
52,10,6,4,0,0,0.0,0.0,0.4,0.6,1,1,0.1,0.1,0,0,5,2,0,2,1,2,8,0,218,12
53,2,2,0,0,2,0.0,1.0,0.0,1.0,1,2,0.5,1.0,0,0,0,2,0,0,0,0,2,0,21,12
54,2,0,2,1,0,0.5,0.0,1.0,0.0,2,0,1.0,0.0,1,0,2,0,0,0,0,0,2,0,7,2
55,4,0,4,2,0,0.5,0.0,1.0,0.0,4,0,1.0,0.0,2,2,0,2,0,0,0,2,2,0,8,4
56,10,3,7,0,0,0.0,0.0,0.7,0.3,1,0,0.1,0.0,1,0,4,1,0,0,5,0,10,0,66,7
57,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,110,110
58,2,1,1,1,0,0.5,0.0,0.5,0.5,1,1,0.5,0.5,1,0,0,1,0,0,1,0,2,0,16,2
59,1,1,0,0,1,0.0,1.0,0.0,1.0,1,1,1.0,1.0,0,0,0,1,0,0,0,0,1,0,12,12
60,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,49,49
61,2,0,2,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,1,0,65,64
62,3,0,3,1,0,0.333,0.0,1.0,0.0,3,0,1.0,0.0,0,2,0,0,0,0,1,2,1,0,11,3
63,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,15,15
64,23,9,14,10,9,0.435,0.391,0.609,0.391,19,9,0.826,0.391,3,1,0,22,0,0,0,1,22,0,32,2
65,2,2,0,0,1,0.0,0.5,0.0,1.0,1,2,0.5,1.0,0,0,0,2,0,0,0,0,2,0,16,12
66,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,8,8
67,8,4,4,0,2,0.0,0.25,0.5,0.5,3,2,0.375,0.25,1,1,0,3,1,0,0,2,6,3,49,7
68,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,6,6
69,2,2,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,0.5,0,0,0,2,0,0,0,0,2,0,24,18
70,3,1,2,1,1,0.333,0.333,0.667,0.333,2,1,0.667,0.333,1,1,0,1,0,0,1,1,2,0,17,1
71,8,3,5,7,3,0.875,0.375,0.625,0.375,7,3,0.875,0.375,3,0,0,0,0,0,0,0,8,8,54,2
72,20,8,12,16,5,0.8,0.25,0.6,0.4,17,8,0.85,0.4,11,1,0,2,16,0,0,17,3,1,19,1
73,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,22,22
74,5,2,3,1,0,0.2,0.0,0.6,0.4,1,0,0.2,0.0,1,0,1,0,1,0,0,3,2,3,62,1
75,3,1,2,1,1,0.333,0.333,0.667,0.333,1,1,0.333,0.333,0,2,0,1,0,0,0,2,1,0,27,5
76,4,1,3,1,0,0.25,0.0,0.75,0.25,2,0,0.5,0.0,1,2,0,2,0,0,0,2,2,0,37,2
77,4,2,2,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0,1,1,0,1,0,0,0,2,2,2,84,27
78,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,0,1,0,0,0,0,0,1,0,0,33,33
79,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,1,0,0,0,0,0,0,1,0,1,1,1
80,3,0,3,1,0,0.333,0.0,1.0,0.0,2,0,0.667,0.0,0,0,0,3,0,0,0,0,3,0,14,5
81,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,66,66
82,4,1,3,1,0,0.25,0.0,0.75,0.25,1,0,0.25,0.0,1,1,0,0,0,1,0,3,1,2,62,4
83,7,5,2,1,0,0.143,0.0,0.286,0.714,1,2,0.143,0.286,0,0,1,4,2,0,0,2,5,0,39,5
84,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,54,54
85,3,2,1,1,1,0.333,0.333,0.333,0.667,1,1,0.333,0.333,1,2,0,0,0,0,0,3,0,1,47,4
86,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,1,0,0,0,0,0,0,1,0,1,5,5
87,1,1,0,0,1,0.0,1.0,0.0,1.0,1,1,1.0,1.0,0,0,0,0,1,0,0,1,0,0,7,7
88,8,6,2,0,0,0.0,0.0,0.25,0.75,1,0,0.125,0.0,0,0,1,0,7,0,0,7,1,0,75,9
89,38,30,8,3,4,0.079,0.105,0.211,0.789,10,8,0.263,0.211,4,1,0,3,33,0,1,34,4,0,47,1
90,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,78,78
91,3,1,2,1,0,0.333,0.0,0.667,0.333,2,1,0.667,0.333,0,0,0,3,0,0,0,0,3,0,15,3
92,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,8,8
93,10,5,5,3,3,0.3,0.3,0.5,0.5,5,4,0.5,0.4,3,0,0,0,7,0,0,10,0,3,38,1
94,4,0,4,3,0,0.75,0.0,1.0,0.0,3,0,0.75,0.0,3,0,0,2,0,0,1,0,4,1,20,2
95,3,2,1,0,0,0.0,0.0,0.333,0.667,0,0,0.0,0.0,0,0,0,0,1,1,0,3,0,1,196,81
96,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,119,119
97,2,2,0,0,1,0.0,0.5,0.0,1.0,0,1,0.0,0.5,0,1,0,0,0,0,0,2,0,1,57,20
98,2,1,1,1,0,0.5,0.0,0.5,0.5,1,1,0.5,0.5,1,1,0,0,0,0,0,1,1,1,66,5
99,7,1,6,4,0,0.571,0.0,0.857,0.143,6,0,0.857,0.0,2,2,0,3,0,0,0,2,5,2,23,4
100,4,2,2,2,1,0.5,0.25,0.5,0.5,3,1,0.75,0.25,2,0,0,2,0,0,2,0,4,0,20,2
101,3,0,3,1,0,0.333,0.0,1.0,0.0,3,0,1.0,0.0,2,0,0,0,1,0,0,2,1,2,12,6
102,2,0,2,1,0,0.5,0.0,1.0,0.0,1,0,0.5,0.0,0,0,0,0,1,0,1,1,1,0,15,3
103,2,2,0,0,1,0.0,0.5,0.0,1.0,0,1,0.0,0.5,0,2,0,0,0,0,0,2,0,0,50,26
104,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,41,41
105,57,51,6,3,3,0.053,0.053,0.105,0.895,4,3,0.07,0.053,3,1,0,0,23,0,16,38,19,17,101,1
106,8,2,6,2,2,0.25,0.25,0.75,0.25,6,2,0.75,0.25,1,1,0,6,0,0,0,1,7,1,17,5
107,4,3,1,0,1,0.0,0.25,0.25,0.75,0,1,0.0,0.25,0,2,0,2,0,0,0,2,2,0,66,15
108,4,1,3,2,0,0.5,0.0,0.75,0.25,3,1,0.75,0.25,2,0,0,1,0,0,0,3,1,3,17,1
109,2,2,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0,2,22,20
