Case_ID,Total_TL,Tot_Closed_TL,Tot_Active_TL,Total_TL_opened_L6M,Tot_TL_closed_L6M,pct_tl_open_L6M,pct_tl_closed_L6M,pct_active_tl,pct_closed_tl,Total_TL_opened_L12M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_utilization,CC_Flag,PL_utilization,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,last_prod_enq2,first_prod_enq2,Approved_Flag
1,3,3,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,0.333,0,0,0,0,0,0,0,3,0,3,45,14,288,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,Married,12TH,36,M,18000,115,0.0,0.0,0.0,-99999.0,0,-99999.0,0,0.0,0.0,0.0,0.0,-99999.0,0,0,ConsumerLoan,ConsumerLoan,P2
2,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,24,24,651,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,Married,UNDER GRADUATE,30,M,35000,90,1.0,0.0,0.0,-99999.0,0,-99999.0,0,0.0,0.0,0.0,0.0,-99999.0,0,0,others,others,P2
3,8,6,2,1,0,0.125,0.0,0.25,0.75,1,1,0.125,0.125,1,0,0,0,7,0,0,8,0,1,78,2,349,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,277,1,0,0,Married,GRADUATE,31,M,40000,145,0.25,1.0,0.67,-99999.0,0,-99999.0,0,0.0,0.0,0.0,0.0,-99999.0,1,0,CC,others,P2
4,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,12,12,48,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,377,0,0,0,Married,12TH,43,M,45000,301,1.0,0.0,0.732,-99999.0,0,-99999.0,0,0.0,0.0,0.0,0.0,-99999.0,0,0,others,others,P2
5,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,7,7,77,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,225,1,0,0,Single,GRADUATE,23,M,18000,38,1.0,0.0,0.3,-99999.0,0,-99999.0,0,0.0,0.0,0.0,0.0,0.833,0,0,PL,PL,P2
6,6,3,3,1,2,0.167,0.333,0.5,0.5,3,2,0.5,0.333,0,1,0,0,3,0,0,6,0,2,31,5,144,29,8,3,54,26,0,2,2,0,54,1,0,10,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,211,1,0,0,Single,GRADUATE,24,M,30000,38,0.5,0.333,0.768,-99999.0,0,-99999.0,0,0.0,0.0,0.0,0.0,-99999.0,1,0,others,others,P2
7,1,1,0,0,0,0.0,0.0,0.0,1.0,1,1,1.0,1.0,0,0,0,0,1,0,0,1,0,0,12,12,340,-99999,-99999,0,-99999,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,2,2,2,Married,12TH,55,M,17000,102,0.0,0.0,0.0,-99999.0,0,-99999.0,0,0.0,0.0,0.0,0.0,-99999.0,1,0,ConsumerLoan,ConsumerLoan,P2
8,2,0,2,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,1,0,0,1,0,0,0,0,2,1,14,14,207,14,6,3,56,28,0,1,1,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,1,0,0,0,0,0,12,2,2,2,Married,GRADUATE,35,M,18000,46,1.0,0.0,0.082,-99999.0,0,-99999.0,0,0.0,0.0,0.0,0.0,1.044,0,0,ConsumerLoan,others,P4
9,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,61,61,1499,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,5,1,1,1,Single,GRADUATE,27,M,18000,65,0.0,0.0,0.0,-99999.0,0,-99999.0,0,1.0,0.0,1.0,0.0,-99999.0,0,0,PL,others,P3
10,7,7,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,7,0,0,7,0,0,37,21,553,-99999,-99999,0,-99999,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,127,2,1,0,Married,UNDER GRADUATE,33,M,60000,128,0.0,0.0,0.0,-99999.0,0,-99999.0,0,0.0,0.0,0.0,0.0,-99999.0,1,0,ConsumerLoan,others,P2
